Locus,crossmatch500_n50,crossmatch500_n100,crossmatch500_n150,crossmatch1000_n50,crossmatch1000_n100,crossmatch1000_n150,mean_p
1,0.0015714642503474,1.0171672037773157e-06,3.7815155489203834e-14,0.2612223762424622,0.5596168023489051,0.6125471298438041,0.0
2,0.1132101568610371,7.574860218111569e-06,3.7815155489203834e-14,0.8566462183840093,0.9121372468821892,0.7300736583970024,0.08
3,0.4714426298566601,0.0010350980478647,5.803165383582759e-09,0.2612223762424622,0.4010340770193891,0.3564403050771985,0.24
4,1.5674255246168249e-12,2.0542730548600277e-17,1.4465852510016045e-35,0.4714426298566601,0.1461831188113047,0.7300736583970024,0.0
5,0.0090349940167201,3.9400339397119036e-11,1.4517975705766154e-19,0.2612223762424622,0.9121372468821892,0.8264751653621575,0.02
6,1.512647973575484e-05,1.0171672037773157e-06,1.4517975705766154e-19,0.6900716936154259,0.9605547804174503,0.4836456816169032,0.0
7,0.1132101568610371,7.574860218111569e-06,3.7815155489203834e-14,0.2612223762424622,0.4010340770193891,0.3564403050771985,0.84
8,1.5674255246168249e-12,5.572235127087837e-27,1.4465852510016045e-35,0.6900716936154259,0.2573478059183113,0.153278693470297,0.0
9,0.0372305509119056,1.0171672037773157e-06,1.0672425798920681e-16,0.1132101568610371,0.7091103217017671,0.2434943083534172,0.0
10,0.0015714642503474,7.06679380657123e-10,3.946587227974094e-21,0.6900716936154259,0.5596168023489051,0.0884747940227254,0.0
11,3.022725621417535e-10,2.174978867202045e-19,1.4465852510016045e-35,0.6900716936154259,0.9605547804174503,0.153278693470297,0.0
12,2.1512008198203788e-08,2.0542730548600277e-17,2.034165714854055e-38,0.0090349940167201,0.2573478059183113,0.8264751653621575,0.04
13,0.0372305509119056,0.0002396602963676,1.0672425798920681e-16,0.6900716936154259,0.4010340770193891,0.153278693470297,0.0
14,0.0372305509119056,7.574860218111569e-06,4.159819683607584e-08,0.2612223762424622,0.2573478059183113,0.3564403050771985,0.08
15,0.0090349940167201,1.1183193737178298e-07,4.337143986205486e-18,0.6900716936154259,0.2573478059183113,0.6125471298438041,0.04
16,0.0001893291084266,1.1183193737178298e-07,1.4517975705766154e-19,0.9493152643472212,0.5596168023489051,0.7300736583970024,0.0
17,0.0015714642503474,9.950371727116057e-09,4.337143986205486e-18,0.2612223762424622,0.8294573058348887,0.2434943083534172,0.7
18,0.0372305509119056,7.574860218111569e-06,7.090295024924208e-10,0.6900716936154259,0.9121372468821892,0.6125471298438041,0.18
19,7.547628687592056e-07,1.6897451557743665e-12,1.791489302730929e-28,0.4714426298566601,0.9121372468821892,0.6125471298438041,0.0
20,2.1512008198203788e-08,3.9400339397119036e-11,1.4537580228912626e-24,0.2612223762424622,0.7091103217017671,0.0097235777100825,0.66
21,0.1132101568610371,7.574860218111569e-06,6.972812605535759e-12,0.8566462183840093,0.7091103217017671,0.2434943083534172,0.34
22,0.0001893291084266,7.06679380657123e-10,3.946587227974094e-21,0.986681815138839,0.2573478059183113,0.4836456816169032,0.0
23,0.1132101568610371,7.06679380657123e-10,4.337143986205486e-18,0.6900716936154259,0.1461831188113047,0.8975934104885139,0.4
24,0.0372305509119056,1.1183193737178298e-07,2.1891373068121547e-15,0.8566462183840093,0.9121372468821892,0.3564403050771985,0.0
25,0.6900716936154259,0.0117962506501232,7.090295024924208e-10,0.4714426298566601,0.4010340770193891,0.4836456816169032,0.68
26,0.2612223762424622,0.0037850399887544,3.7815155489203834e-14,0.6900716936154259,0.7091103217017671,0.9447607606698496,0.16
27,0.0372305509119056,4.6649665489730854e-05,7.090295024924208e-10,0.8566462183840093,0.1461831188113047,0.4836456816169032,0.06
28,0.0015714642503474,9.950371727116057e-09,3.946587227974094e-21,0.4714426298566601,0.7091103217017671,0.022360515618607,0.02
29,0.0001893291084266,5.43367320425823e-14,1.4537580228912626e-24,0.6900716936154259,0.9605547804174503,0.6125471298438041,0.0
30,0.0372305509119056,1.0171672037773157e-06,7.090295024924208e-10,0.4714426298566601,0.4010340770193891,0.0466314598556144,0.24
31,0.0372305509119056,3.9400339397119036e-11,6.972812605535759e-12,0.4714426298566601,0.7091103217017671,0.7300736583970024,0.0
32,0.1132101568610371,7.574860218111569e-06,7.090295024924208e-10,0.9493152643472212,0.5596168023489051,0.6125471298438041,0.06
33,0.1132101568610371,0.0002396602963676,7.55113285047831e-11,0.6900716936154259,0.9121372468821892,0.0884747940227254,0.34
34,0.0015714642503474,0.0037850399887544,5.549670323303732e-13,0.2612223762424622,0.2573478059183113,0.4836456816169032,0.1
35,3.022725621417535e-10,2.0542730548600277e-17,1.791489302730929e-28,0.2612223762424622,0.9121372468821892,0.7300736583970024,0.0
36,0.0372305509119056,1.0171672037773157e-06,7.090295024924208e-10,0.9493152643472212,0.9605547804174503,0.7300736583970024,0.18
37,1.512647973575484e-05,3.9400339397119036e-11,1.879886123549499e-26,0.1132101568610371,0.9121372468821892,0.6125471298438041,0.0
38,0.0015714642503474,1.6897451557743665e-12,1.2037696161728785e-30,0.4714426298566601,0.4010340770193891,0.2434943083534172,0.46
39,0.1132101568610371,7.574860218111569e-06,2.1891373068121547e-15,0.9493152643472212,0.8294573058348887,0.7300736583970024,0.22
40,0.0015714642503474,1.2677729166185138e-15,3.946587227974094e-21,0.6900716936154259,0.8294573058348887,0.0884747940227254,0.0
41,0.0372305509119056,3.9400339397119036e-11,1.0672425798920681e-16,0.2612223762424622,0.8294573058348887,0.153278693470297,0.0
42,0.0015714642503474,9.950371727116057e-09,3.946587227974094e-21,0.4714426298566601,0.8294573058348887,0.4836456816169032,0.0
43,0.1132101568610371,7.574860218111569e-06,7.55113285047831e-11,0.6900716936154259,0.9846814835689196,0.6125471298438041,0.92
44,7.547628687592056e-07,5.43367320425823e-14,1.2037696161728785e-30,0.9493152643472212,0.1461831188113047,0.7300736583970024,0.0
45,2.1512008198203788e-08,2.0542730548600277e-17,1.4465852510016045e-35,0.2612223762424622,0.4010340770193891,0.022360515618607,0.0
46,0.0001893291084266,1.6897451557743665e-12,1.4537580228912626e-24,0.2612223762424622,0.7091103217017671,0.2434943083534172,0.0
47,0.0090349940167201,7.574860218111569e-06,7.090295024924208e-10,0.9493152643472212,0.7091103217017671,0.2434943083534172,0.0
48,0.0372305509119056,0.0002396602963676,7.55113285047831e-11,0.4714426298566601,0.7091103217017671,0.2434943083534172,0.02
49,7.547628687592056e-07,5.43367320425823e-14,1.879886123549499e-26,0.8566462183840093,0.7091103217017671,0.0884747940227254,0.0
50,0.0001893291084266,1.6897451557743665e-12,2.1891373068121547e-15,0.6900716936154259,0.2573478059183113,0.3564403050771985,0.46
51,0.0001893291084266,2.174978867202045e-19,5.363432156886097e-33,0.6900716936154259,0.8294573058348887,0.7300736583970024,0.0
52,0.1132101568610371,3.9400339397119036e-11,1.4517975705766154e-19,0.6900716936154259,0.4010340770193891,0.8264751653621575,0.34
53,0.0090349940167201,9.950371727116057e-09,8.565678647612969e-23,0.0372305509119056,0.5596168023489051,0.3564403050771985,0.06
54,0.1132101568610371,0.0002396602963676,5.549670323303732e-13,0.6900716936154259,0.1461831188113047,0.7300736583970024,0.24
55,7.547628687592056e-07,1.6897451557743665e-12,1.4537580228912626e-24,0.6900716936154259,0.8294573058348887,0.4836456816169032,0.1
56,0.1132101568610371,7.574860218111569e-06,7.090295024924208e-10,0.9493152643472212,0.4010340770193891,0.8264751653621575,0.22
57,7.547628687592056e-07,1.2677729166185138e-15,5.363432156886097e-33,0.9493152643472212,0.1461831188113047,0.6125471298438041,0.0
58,0.1132101568610371,0.0002396602963676,7.55113285047831e-11,0.6900716936154259,0.0117962506501232,0.3564403050771985,0.18
59,7.547628687592056e-07,1.3741934818766986e-21,1.4537580228912626e-24,0.4714426298566601,0.1461831188113047,0.6125471298438041,0.0
60,0.0001893291084266,7.574860218111569e-06,7.55113285047831e-11,0.1132101568610371,0.072805917819116,0.2434943083534172,0.66
61,7.547628687592056e-07,1.6897451557743665e-12,8.565678647612969e-23,0.2612223762424622,0.9121372468821892,0.0884747940227254,0.0
62,0.0090349940167201,1.0171672037773157e-06,1.0672425798920681e-16,0.9493152643472212,0.7091103217017671,0.4836456816169032,0.0
63,0.0090349940167201,1.1183193737178298e-07,8.565678647612969e-23,0.6900716936154259,0.4010340770193891,0.3564403050771985,0.02
64,0.0001893291084266,7.06679380657123e-10,1.4517975705766154e-19,0.1132101568610371,0.1461831188113047,0.8975934104885139,0.2
65,0.0090349940167201,1.1183193737178298e-07,2.1891373068121547e-15,0.8566462183840093,0.9121372468821892,0.8264751653621575,0.0
66,0.2612223762424622,9.950371727116057e-09,6.972812605535759e-12,0.1132101568610371,0.4010340770193891,0.8264751653621575,0.0
67,0.0001893291084266,1.6897451557743665e-12,4.337143986205486e-18,0.9493152643472212,0.8294573058348887,0.7300736583970024,0.02
68,0.4714426298566601,1.0171672037773157e-06,4.159819683607584e-08,0.8566462183840093,0.9846814835689196,0.2434943083534172,0.7
69,0.0090349940167201,9.950371727116057e-09,1.0672425798920681e-16,0.8566462183840093,0.5596168023489051,0.6125471298438041,0.0
70,0.0090349940167201,0.0002396602963676,1.4537580228912626e-24,0.8566462183840093,0.8294573058348887,0.2434943083534172,0.1
71,0.0090349940167201,7.574860218111569e-06,6.972812605535759e-12,0.986681815138839,0.4010340770193891,0.2434943083534172,0.0
72,0.0372305509119056,7.06679380657123e-10,1.0672425798920681e-16,0.2612223762424622,0.2573478059183113,0.6125471298438041,0.02
73,0.0015714642503474,1.6897451557743665e-12,4.337143986205486e-18,0.2612223762424622,0.072805917819116,0.4836456816169032,0.0
74,3.022725621417535e-10,4.464325997753861e-24,2.034165714854055e-38,0.9493152643472212,0.9605547804174503,0.7300736583970024,0.0
75,0.0015714642503474,3.9400339397119036e-11,1.0672425798920681e-16,0.4714426298566601,0.9121372468821892,0.9728675975220928,0.0
76,7.547628687592056e-07,2.174978867202045e-19,1.2037696161728785e-30,0.1132101568610371,0.4010340770193891,0.2434943083534172,0.0
77,0.6900716936154259,0.0010350980478647,4.159819683607584e-08,0.9974721560091456,0.4010340770193891,0.7300736583970024,0.1
78,0.2612223762424622,0.0037850399887544,2.1891373068121547e-15,0.0372305509119056,0.1461831188113047,0.3564403050771985,0.24
79,0.0001893291084266,7.06679380657123e-10,3.7815155489203834e-14,0.8566462183840093,0.5596168023489051,0.8975934104885139,0.0
80,0.0372305509119056,9.950371727116057e-09,4.337143986205486e-18,0.8566462183840093,0.072805917819116,0.2434943083534172,0.02
81,0.0090349940167201,9.950371727116057e-09,3.7815155489203834e-14,0.0090349940167201,0.5596168023489051,0.0884747940227254,0.84
82,0.4714426298566601,1.0171672037773157e-06,3.7815155489203834e-14,0.0372305509119056,0.8294573058348887,0.3564403050771985,0.74
83,0.0090349940167201,0.0002396602963676,6.972812605535759e-12,0.4714426298566601,0.9121372468821892,0.0466314598556144,0.42
84,0.1132101568610371,0.0010350980478647,5.549670323303732e-13,0.6900716936154259,0.9605547804174503,0.3564403050771985,0.0
85,0.1132101568610371,1.1183193737178298e-07,1.4537580228912626e-24,0.6900716936154259,0.1461831188113047,0.9447607606698496,0.0
86,0.0015714642503474,1.6897451557743665e-12,3.946587227974094e-21,0.1132101568610371,0.8294573058348887,0.4836456816169032,0.0
87,7.547628687592056e-07,7.06679380657123e-10,3.946587227974094e-21,0.9493152643472212,0.7091103217017671,0.8264751653621575,0.0
88,0.0015714642503474,9.950371727116057e-09,1.0672425798920681e-16,0.4714426298566601,0.9121372468821892,0.8975934104885139,0.0
89,0.0001893291084266,1.0171672037773157e-06,1.4517975705766154e-19,0.4714426298566601,0.9121372468821892,0.6125471298438041,0.0
90,0.0090349940167201,1.1183193737178298e-07,4.337143986205486e-18,0.2612223762424622,0.9121372468821892,0.2434943083534172,0.02
91,0.0090349940167201,1.0171672037773157e-06,5.549670323303732e-13,0.2612223762424622,0.4010340770193891,0.7300736583970024,0.06
92,0.0090349940167201,7.574860218111569e-06,5.549670323303732e-13,0.4714426298566601,0.4010340770193891,0.9447607606698496,0.66
93,2.1512008198203788e-08,1.3741934818766986e-21,5.363432156886097e-33,0.8566462183840093,0.9985439132124108,0.7300736583970024,0.0
94,0.0090349940167201,1.1183193737178298e-07,5.803165383582759e-09,0.1132101568610371,0.7091103217017671,0.6125471298438041,0.06
95,0.0372305509119056,0.0002396602963676,6.972812605535759e-12,0.2612223762424622,0.7091103217017671,0.9447607606698496,0.02
96,7.547628687592056e-07,1.2677729166185138e-15,1.2037696161728785e-30,0.0372305509119056,0.5596168023489051,0.4836456816169032,0.0
97,0.4714426298566601,0.0117962506501232,1.4600882701537232e-06,0.4714426298566601,0.5596168023489051,0.022360515618607,0.0
98,0.0001893291084266,3.9400339397119036e-11,1.879886123549499e-26,0.9974721560091456,0.5596168023489051,0.8975934104885139,0.64
99,2.1512008198203788e-08,1.3741934818766986e-21,1.791489302730929e-28,0.4714426298566601,0.1461831188113047,0.6125471298438041,0.0
100,0.0090349940167201,4.6649665489730854e-05,6.972812605535759e-12,0.9493152643472212,0.5596168023489051,0.2434943083534172,0.04
101,0.0015714642503474,2.0542730548600277e-17,3.946587227974094e-21,0.1132101568610371,0.4010340770193891,0.4836456816169032,0.18
102,0.2612223762424622,4.6649665489730854e-05,2.622711602937288e-07,0.4714426298566601,0.9121372468821892,0.8264751653621575,0.38
103,0.4714426298566601,4.6649665489730854e-05,2.622711602937288e-07,0.6900716936154259,0.5596168023489051,0.6125471298438041,0.06
104,0.0015714642503474,3.9400339397119036e-11,3.946587227974094e-21,0.986681815138839,0.2573478059183113,0.7300736583970024,0.54
105,0.0090349940167201,7.06679380657123e-10,2.1891373068121547e-15,0.986681815138839,0.5596168023489051,0.7300736583970024,0.24
106,0.0372305509119056,0.0117962506501232,7.55113285047831e-11,0.8566462183840093,0.8294573058348887,0.9447607606698496,0.62
107,0.0015714642503474,9.950371727116057e-09,5.549670323303732e-13,0.6900716936154259,0.9948884441829732,0.8264751653621575,0.6
108,0.0001893291084266,7.06679380657123e-10,2.1891373068121547e-15,0.8566462183840093,0.2573478059183113,0.8264751653621575,0.3
109,0.0372305509119056,0.0002396602963676,5.549670323303732e-13,0.8566462183840093,0.1461831188113047,0.8975934104885139,0.64
110,0.0372305509119056,0.0002396602963676,2.1891373068121547e-15,0.2612223762424622,0.1461831188113047,0.0884747940227254,0.34
111,0.0090349940167201,3.9400339397119036e-11,4.337143986205486e-18,0.1132101568610371,0.9996482227373878,0.4836456816169032,0.26
112,0.4714426298566601,1.1183193737178298e-07,5.803165383582759e-09,0.8566462183840093,0.5596168023489051,0.6125471298438041,0.0
113,0.0001893291084266,7.574860218111569e-06,2.1891373068121547e-15,0.4714426298566601,0.2573478059183113,0.8975934104885139,0.04
114,0.2612223762424622,0.0010350980478647,7.55113285047831e-11,0.9493152643472212,0.7091103217017671,0.4836456816169032,0.68
115,0.1132101568610371,3.9400339397119036e-11,1.4537580228912626e-24,0.6900716936154259,0.5596168023489051,0.8975934104885139,0.48
116,0.0001893291084266,5.43367320425823e-14,4.337143986205486e-18,0.4714426298566601,0.9846814835689196,0.9879049020867204,0.8
117,0.0015714642503474,1.0171672037773157e-06,4.337143986205486e-18,0.0372305509119056,0.4010340770193891,0.8264751653621575,0.3
118,0.0090349940167201,1.0171672037773157e-06,7.55113285047831e-11,0.2612223762424622,0.1461831188113047,0.3564403050771985,0.0
119,1.5674255246168249e-12,4.464325997753861e-24,2.034165714854055e-38,0.4714426298566601,0.5596168023489051,0.3564403050771985,0.0
120,0.1132101568610371,4.6649665489730854e-05,4.337143986205486e-18,0.6900716936154259,0.5596168023489051,0.8975934104885139,0.62
121,0.0090349940167201,1.6897451557743665e-12,3.7815155489203834e-14,0.2612223762424622,0.9605547804174503,0.2434943083534172,0.1
122,0.1132101568610371,4.6649665489730854e-05,4.337143986205486e-18,0.4714426298566601,0.0315366953823678,0.8264751653621575,0.02
123,0.0001893291084266,9.950371727116057e-09,7.55113285047831e-11,0.6900716936154259,0.5596168023489051,0.4836456816169032,0.22
124,0.0001893291084266,7.06679380657123e-10,1.0672425798920681e-16,0.6900716936154259,0.072805917819116,0.6125471298438041,0.12
125,0.0001893291084266,3.9400339397119036e-11,3.946587227974094e-21,0.6900716936154259,0.4010340770193891,0.4836456816169032,0.0
126,0.0372305509119056,1.0171672037773157e-06,1.0672425798920681e-16,0.6900716936154259,0.9605547804174503,0.6125471298438041,0.0
127,7.547628687592056e-07,1.2677729166185138e-15,8.565678647612969e-23,0.4714426298566601,0.7091103217017671,0.7300736583970024,0.0
128,0.4714426298566601,1.1183193737178298e-07,1.0672425798920681e-16,0.1132101568610371,0.4010340770193891,0.7300736583970024,0.02
129,2.1512008198203788e-08,1.3741934818766986e-21,1.4465852510016045e-35,0.9493152643472212,0.4010340770193891,0.7300736583970024,0.0
130,0.0372305509119056,7.574860218111569e-06,1.0672425798920681e-16,0.8566462183840093,0.7091103217017671,0.7300736583970024,0.04
131,1.2529380692380692e-15,5.572235127087837e-27,2.034165714854055e-38,0.6900716936154259,0.9121372468821892,0.153278693470297,0.0
132,0.0001893291084266,3.9400339397119036e-11,8.565678647612969e-23,0.6900716936154259,0.8294573058348887,0.4836456816169032,0.5
133,0.0001893291084266,7.06679380657123e-10,2.1891373068121547e-15,0.6900716936154259,0.2573478059183113,0.4836456816169032,0.28
134,0.0090349940167201,1.0171672037773157e-06,1.791489302730929e-28,0.2612223762424622,0.0315366953823678,0.9447607606698496,0.44
135,0.0090349940167201,1.6897451557743665e-12,3.7815155489203834e-14,0.6900716936154259,0.4010340770193891,0.8264751653621575,0.0
136,1.2529380692380692e-15,1.114224180581451e-30,9.900422782015342e-46,0.2612223762424622,0.7091103217017671,0.7300736583970024,0.0
137,0.0001893291084266,0.0002396602963676,2.1891373068121547e-15,0.6900716936154259,0.5596168023489051,0.7300736583970024,0.74
138,0.0001893291084266,1.1183193737178298e-07,6.972812605535759e-12,0.6900716936154259,0.8294573058348887,0.6125471298438041,0.32
139,1.512647973575484e-05,3.9400339397119036e-11,1.4517975705766154e-19,0.0372305509119056,0.9121372468821892,0.2434943083534172,0.0
140,0.0015714642503474,1.0171672037773157e-06,3.7815155489203834e-14,0.6900716936154259,0.1461831188113047,0.2434943083534172,0.08
141,0.0372305509119056,1.0171672037773157e-06,2.1891373068121547e-15,0.4714426298566601,0.8294573058348887,0.153278693470297,0.62
142,0.1132101568610371,0.0037850399887544,4.159819683607584e-08,0.986681815138839,0.2573478059183113,0.7300736583970024,0.14
143,0.0090349940167201,0.0010350980478647,2.1891373068121547e-15,0.8566462183840093,0.9121372468821892,0.2434943083534172,0.48
144,2.1512008198203788e-08,2.0542730548600277e-17,1.2037696161728785e-30,0.8566462183840093,0.0315366953823678,0.7300736583970024,0.0
145,0.0001893291084266,1.6897451557743665e-12,3.7815155489203834e-14,0.1132101568610371,0.9121372468821892,0.3564403050771985,0.0
146,0.2612223762424622,7.574860218111569e-06,4.159819683607584e-08,0.9493152643472212,0.2573478059183113,0.8975934104885139,0.26
147,0.0372305509119056,3.9400339397119036e-11,4.337143986205486e-18,0.4714426298566601,0.4010340770193891,0.9447607606698496,0.7
148,0.0372305509119056,7.574860218111569e-06,2.1891373068121547e-15,0.9493152643472212,0.7091103217017671,0.7300736583970024,0.0
149,1.512647973575484e-05,3.9400339397119036e-11,8.565678647612969e-23,0.6900716936154259,0.2573478059183113,0.0097235777100825,0.8
150,0.1132101568610371,3.9400339397119036e-11,1.4517975705766154e-19,0.2612223762424622,0.2573478059183113,0.9728675975220928,0.0
151,1.512647973575484e-05,9.950371727116057e-09,2.1891373068121547e-15,0.9493152643472212,0.5596168023489051,0.6125471298438041,0.0
