Locus, P_Value
1,	1
2,	0
3,	0
4,	1
5,	0
6,	1
7,	0
8,	1
9,	0
10,	1
11,	1
12,	0
13,	0
14,	0
15,	0
16,	0
17,	0
18,	0
19,	1
20,	0
21,	0
22,	0
23,	0
24,	1
25,	0
26,	0
27,	0
28,	1
29,	1
30,	0
31,	1
32,	0
33,	0
34,	0
35,	1
36,	0
37,	1
38,	0
39,	0
40,	1
41,	0
42,	0
43,	0
44,	1
45,	1
46,	1
47,	0
48,	0
49,	1
50,	0
51,	1
52,	0
53,	0
54,	0
55,	0
56,	0
57,	1
58,	0
59,	1
60,	0
61,	1
62,	1
63,	0
64,	0
65,	0
66,	1
67,	1
68,	0
69,	0
70,	0
71,	0
72,	1
73,	0
74,	1
75,	1
76,	1
77,	0
78,	0
79,	1
80,	0
81,	0
82,	0
83,	0
84,	0
85,	1
86,	1
87,	0
88,	1
89,	1
90,	0
91,	0
92,	0
93,	1
94,	1
95,	0
96,	1
97,	0
98,	0
99,	1
100,	0
101,	0
102,	0
103,	0
104,	0
105,	0
106,	0
107,	0
108,	0
109,	0
110,	0
111,	0
112,	0
113,	0
114,	0
115,	0
116,	0
117,	0
118,	0
119,	1
120,	0
121,	0
122,	0
123,	0
124,	0
125,	1
126,	0
127,	1
128,	1
129,	1
130,	0
131,	1
132,	0
133,	0
134,	0
135,	1
136,	1
137,	0
138,	0
139,	0
140,	0
141,	0
142,	0
143,	0
144,	1
145,	1
146,	0
147,	0
148,	0
149,	0
150,	0
151,	0
152,	0
153,	0
154,	0
155,	0
156,	0
157,	1
158,	1
159,	0
160,	1
161,	1
162,	0
163,	0
164,	0
165,	1
166,	1
167,	1
168,	0
169,	1
170,	0
171,	1
172,	1
173,	1
174,	0
175,	0
176,	0
177,	1
178,	0
179,	1
180,	0
181,	0
182,	0
183,	0
184,	1
185,	1
186,	0
187,	0
188,	0
189,	0
190,	0
191,	1
192,	0
193,	0
194,	1
195,	1
196,	1
197,	1
198,	0
199,	0
200,	1
201,	0
202,	0
203,	1
204,	0
205,	1
206,	0
207,	0
208,	1
209,	0
210,	0
211,	1
212,	0
213,	1
214,	0
215,	0
216,	0
217,	0
218,	0
219,	1
220,	1
221,	0
222,	0
223,	1
224,	0
225,	1
226,	1
227,	0
228,	0
229,	1
230,	0
231,	0
232,	0
233,	0
234,	1
235,	0
236,	1
237,	0
238,	0
239,	1
240,	0
241,	1
242,	1
243,	0
244,	1
245,	0
246,	0
247,	1
248,	0
249,	1
250,	1
251,	0
252,	0
253,	0
254,	1
255,	1
256,	0
257,	0
258,	0
259,	0
260,	0
261,	1
262,	0
263,	0
264,	0
265,	0
266,	1
267,	1
268,	1
269,	0
270,	1
271,	0
272,	0
273,	1
274,	1
275,	0
276,	0
277,	1
278,	1
279,	1
280,	1
281,	0
282,	0
283,	1
284,	0
285,	0
286,	0
287,	0
288,	0
289,	0
290,	1
291,	1
292,	0
293,	0
294,	1
295,	1
296,	0
297,	0
298,	1
299,	1
300,	0
301,	1
302,	1
303,	0
304,	0