,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,Tree9,Tree10,Tree11,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Tree18,Tree19,Tree20,Tree21,Tree22,Tree23,Tree24,Tree25,Tree26,Tree27,Tree28,Tree29,Tree30,Tree31,Tree32,Tree33,Tree34,Tree35,Tree36,Tree37,Tree38,Tree39,Tree40
Tree1,0.0,111.12156635662284,123.83127795300004,111.9192032099268,106.01951838930052,119.45719013803786,111.96995701443043,120.1242122125726,116.18866459459238,116.4307120698191,120.2000865327744,101.1189200875638,111.29941912827684,130.725142541231,116.26445930625918,124.6080130844298,133.61352910932817,133.09809077894312,118.22511082405708,123.60799730275173,123.19188360738526,113.3089119510999,129.26987838847273,120.88663647755142,119.4779347236311,117.0905914080422,114.09114528995616,121.41851855956575,114.1228488391853,117.43416244579866,119.5220925656898,117.26805684216173,122.67080303583022,127.32199282947936,113.18509847398,121.99980233887533,115.3670314390091,122.26059661894868,118.98059068056348,111.68350551942426
Tree2,0.0,0.0,126.4466399418274,126.72852486629364,102.79220565075222,120.46904433898506,113.82361574032036,134.9687703978607,119.23669126210116,115.10871716236056,114.12315331709866,109.2089312969494,93.50505763366328,119.87632805103377,110.00072358408272,125.08582897117276,131.95854864957025,119.9788658223036,110.82065792539836,118.80149073237904,109.81322788559196,109.1366871542112,119.97266843170526,115.38929040932226,134.63712440127242,121.79664428339832,112.87559924758104,120.1681829958362,111.18898934736382,129.07645588901377,114.6635601350707,124.45841303142429,127.52184221399668,120.02969284060048,99.95329576304728,117.9934667957791,106.89488201909832,116.52787434220494,107.8955014966073,109.6819040106842
Tree3,0.0,0.0,0.0,116.8895331043516,114.86235725211412,117.78513337712066,112.16870529395256,118.79578257771652,112.597548712622,116.7392635100512,126.98785945471292,118.59934492022276,117.52612220909002,126.6225813855062,124.4760879337839,122.06015428505256,119.22783615587996,128.9668604916828,116.21043251268816,131.1772319013607,128.84584469200323,112.29003756721566,129.95301573816872,120.45894289961734,116.5177732873462,120.22456517062642,126.00878263254172,117.1538252847214,129.57319157421745,117.69409189032322,114.1838327479365,114.82136584046955,115.9340216443436,134.61132553976134,110.21512348185176,116.49575530181728,122.97718292113566,128.4468470046532,125.57033284405308,116.1611419449972
Tree4,0.0,0.0,0.0,0.0,116.06033203017908,121.64544225058908,107.11762506780624,112.97689658656554,116.81627435326858,107.9466660383076,117.46052372878728,111.71191113171804,112.45481841903288,122.334173274887,116.21796237453157,120.453399622645,116.02249144941445,119.48837339944156,125.57214210194532,126.8991603733744,129.35776709983836,116.5156115645966,132.65745819331596,104.61055843252493,107.70217722099493,124.2590937695946,119.13731574937978,125.31614845709257,114.06227519661958,113.70304923341128,105.08999931007232,114.6925481099409,113.85381716944092,119.04921217680476,105.45106442696186,122.06810802358892,109.00321268616028,102.8553263356688,116.80601877442705,113.51793701501364
Tree5,0.0,0.0,0.0,0.0,0.0,112.79574570265169,109.13060253663632,121.11947231355884,112.87117159377294,103.42412007447534,117.25101125984628,110.50173640702882,104.66006020061452,117.8576515549563,110.0657519344188,116.1572287344172,107.61750204777614,115.74301791744838,112.74408454333866,128.30066283424566,113.42003934141157,107.39449017365384,123.33493793695057,106.05348352468314,117.37331572783287,112.52073682493376,109.31410272708553,111.50705594915014,120.39796323199978,117.8439312169768,102.23195853740329,116.23212812022676,122.56865586646556,113.3726830575175,91.01701106842148,112.88722840185385,95.62115913938048,103.48384867520106,106.89958068806352,99.57505682760556
Tree6,0.0,0.0,0.0,0.0,0.0,0.0,116.78052842539698,111.555450786568,119.56332184120294,115.3574690380283,124.6586218090115,113.42142124933608,104.87043862057838,128.09063384788303,123.50127863962985,120.10162817594303,129.74026995098995,112.67085272107823,123.70422028129674,129.77720696707655,133.15579449368255,116.5943487467324,137.43546733739842,109.59379974611475,110.49074997779154,109.78364736896825,117.87522416485376,120.64497610243586,111.4441555626931,118.63491350836672,105.91100903599752,101.3016509118858,110.5823159742662,124.35417959762964,108.126990302474,122.31112754397844,113.576107775546,119.70354049068833,126.90354423631416,122.04768690440284
Tree7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.12318026017286,115.789706137354,112.7091773356276,112.60139762011666,107.70424941871684,103.45724431234788,118.4596239836528,109.01593321018709,121.81026949030264,115.02039967350494,115.59824881850056,105.9423251799878,121.4591774991728,114.19323902833546,110.99845376100934,124.95813171582289,100.31269814199008,115.59950061079508,103.52640301024827,106.67582169666956,112.87782886018934,106.94371464380164,119.88609033246904,99.87541012969686,104.645543928029,116.96632208851872,116.9990643373785,99.56811749564852,120.90547620957705,110.41241754598563,115.03587380045812,111.17010693056964,114.37600305987304
Tree8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.63731801247738,116.79108352038392,126.51747354227004,115.56623208942965,122.36718737248638,133.08273161245648,122.08615770862968,127.40686803796794,123.82102159149204,111.94433503913456,131.82865824885508,139.63408893594902,142.0846744436627,115.39085178024348,142.0309981567442,125.68852852303412,108.86430894745136,116.35825485651448,123.04527734560118,134.21446940653922,120.75179382701768,121.99807877248912,109.60353637406352,114.40533121098184,121.76362867639506,125.96634524011132,117.87664621730308,129.5835217023847,124.20939760630272,121.01573475331432,124.7904434592844,128.06165856093713
Tree9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.24970774525818,114.64586250473155,131.2702889565025,112.1113236271213,114.79876457791096,114.46285224743586,112.41825009180026,130.95340057890417,128.91061323541888,109.92182480803346,118.04743915118064,115.8867135193637,116.95425302543032,131.4724810033874,113.94652782755826,119.33338137869964,117.9321847368745,111.73362479346702,115.7026020589918,124.581414286905,140.70318990563763,110.33051343451352,115.95114645976412,123.51745760191884,119.71157518416427,103.49681484849584,115.10704508626792,115.81445859957915,107.6827710628885,116.30629366498287,112.13350949939344
Tree10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.16340143068489,110.82753507904212,119.48848886883049,107.99365781584558,110.01892438039496,122.7310058801445,128.61698061887438,119.56350846101456,120.5576736377836,119.74545695786686,121.09840829845731,116.73563284770825,124.31138940738924,114.7711652599758,123.43518438108904,114.32821229826548,112.2664285178681,113.76820904493408,126.30335795274722,132.4712993300811,107.91989476561474,105.0692223247226,121.38232300111925,113.1533097791114,101.52685963937948,116.60353214050994,102.9053666847158,112.29885526751292,115.734390591893,108.63091178106346
Tree11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.18514058201224,105.64511111391217,113.20830652037064,112.85084136606986,122.87523805501556,128.43024555945811,125.46869080517632,122.11408288812608,120.81780777395886,130.30585934065087,108.62887462004666,119.15083567148918,115.20246730788185,132.73274646847818,119.60571970068852,115.19707809170458,131.63992265544795,119.41031369783322,121.37364458537157,115.6237276995901,119.31174053458729,131.20135793489004,117.98211752709342,104.722525532028,130.53782210488845,108.60565922585918,106.00051412549408,119.1355029403399,107.2631760395968
Tree12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.8159373201788,124.34173302379232,107.21981498087683,123.09395997255636,113.36523195349238,117.1949660752123,115.630969144952,131.33281512233614,124.48779962132372,109.33791149820956,124.33340460303803,114.94402859071434,128.14088497566746,110.74296713247531,111.27179136171765,119.273933091159,127.05196005324224,111.93371950006387,111.65865391098232,116.76748539474248,120.08479740061736,128.06378527270195,106.66929069826108,117.64895131435452,112.6755940418104,125.00375643801443,109.51050838339508,102.91639226039138
Tree13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.77765164666975,105.63569638703932,111.91605175004452,120.14966388470584,116.78070469618297,98.31071771670084,100.93266294951894,115.03809825272656,103.41193752958516,116.4105246112331,105.93807750048964,117.0477974275074,106.9084265259758,106.19028281829203,109.60750745956254,113.10165154161392,118.001355666053,100.52152702093088,106.9637929984088,109.67152586968224,112.04917578261886,99.2929224238684,105.49994359409835,99.58378411485654,109.1763485699058,107.60643756667268,97.00829098189011
Tree14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.28272103369666,122.57905741099022,140.80041340836172,134.06009172644545,114.82728606479812,119.40762450785424,123.50141742212936,117.778886926661,118.28563505216806,112.78689266376604,127.5471579926948,117.5136893326848,115.7095454254204,133.37687488310036,130.73056037491116,127.24802133600392,110.38133570100564,122.8159882616598,128.2621250564141,124.16800011188889,109.95456970672753,126.55447260660053,112.58034738654813,119.49278734080632,122.11175820212586,121.22542821109866
Tree15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.21603061944494,128.5598757942412,110.2666943906456,111.39115327758256,122.58087457149388,128.75436237468702,110.97330134056396,128.11091376097215,111.80753515153243,125.170405161599,102.08216248327672,94.7573361938752,128.68172339040845,108.84286699624734,129.18529315356943,103.47897144205632,119.76021780098488,116.6554347800922,121.87821645622452,101.40266012349169,110.14104032528056,102.7631467315218,114.8034747346926,109.69235732708287,110.21997502671792
Tree16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.65377468869887,128.7173409199821,125.50272976548878,125.41838346287685,133.93567854303913,113.97463792997809,136.75902215573137,110.25307182728044,135.8120107540347,114.4849100769882,119.5567301595451,122.51209516918794,132.83141520544464,141.32608953933553,112.04471838280011,119.8821502045262,132.21584147212832,120.61537939522066,112.3104297230074,118.75785035337024,115.4305378166394,122.4475588236264,129.50312517618224,119.43898403738798
Tree17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.30327808122009,122.28368773997929,139.74999036187077,141.9104194881714,116.7735460700396,138.10050336413673,115.78906361294948,126.20808501837529,126.4611483229314,128.13487188597628,121.36358546574915,135.80487718895748,131.23179846923733,115.4753292232028,125.60268109284128,131.58996158787906,123.40761877535397,112.69808786753144,124.01158928711862,120.62593990307433,116.72527810235916,118.6538717780894,118.04362357098158
Tree18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.35158431367886,133.29626414054408,133.61881772889845,124.69262234440627,132.94095276766726,110.51323075611172,123.0105337228173,116.75730837233822,116.56912866951428,124.1158438900076,108.73171205112833,121.500750252951,109.27138881906984,108.80520709200792,114.764989987176,119.8675339250223,106.8450362596679,117.8612883932534,114.43042550162951,116.20914456448152,117.92526763897706,114.42873277414182
Tree19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.80550711332668,115.02208005270352,115.14984982097349,128.19535285785776,118.02579818726213,125.17963223793114,114.76036723475968,112.0100559640782,99.02832460356834,121.059746982344,129.85954248342512,109.5857941024482,119.22213639289107,115.0033642060513,125.07737263556989,101.54500810936578,110.31386283019631,110.31682864127195,124.99821400263492,120.250501976418,112.99176501681345
Tree20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.46951908731754,119.22562823000924,126.55969282867312,120.34797890174052,139.70202912076172,114.17947356465056,113.93280376381186,132.2485197516511,124.96973517564577,133.80709682805738,122.67132292642268,121.59830042186168,124.73932626076352,116.3973690936975,117.16355777347502,122.94622107084076,111.419540410796,119.70305587320948,120.3280170877734,120.55701895302988
Tree21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.83498283895415,135.04408148439524,126.85067273688988,141.21981814828513,128.3819543002187,126.33553352006076,123.2766992982076,120.92563207909868,139.79053508450042,119.97311674527404,121.35036286016312,138.87380497480964,137.70480740171368,116.59373773181638,130.33378297698314,124.8592540563934,125.54889352923615,127.86533492351792,131.0691733396484
Tree22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.465798256294,114.15908841184849,116.29878298653188,111.22459473711378,109.03037860193568,119.46414420481965,125.91596553269316,124.9936032117533,115.2504944527121,118.54749087883896,122.7862552418052,128.64866329029704,110.41086740510691,120.1742932460722,118.79083128288651,106.6150224168286,114.60744476609494,107.12686695755484
Tree23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.71488247126285,141.25264476985816,123.1492659051413,126.89433364519404,142.89376032122712,142.56016300162935,131.86982828861653,122.16505088030054,131.234946713427,138.17003060726051,133.05092836121003,115.26691880878148,130.19882498089305,113.3309591668408,125.70828761047056,107.4433094397036,116.27101786809352
Tree24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.74156175979832,113.7291462494358,108.35766201475646,125.10174118122067,116.69751897836382,122.10155045572438,97.77368344048972,112.55539688767166,118.66420347078206,111.95838368825446,100.4338687138425,112.13776051295883,109.72289682624728,104.94896432273616,120.1460426661274,102.42338101029485
Tree25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.81681545843831,126.90264795176591,133.51716733399783,124.90047617875072,116.12188906143416,112.5419818315972,107.71918740521906,116.52209482107432,132.60522711992155,117.4286307192147,126.64729589919638,123.5570288770638,112.09633811101426,123.25720793542428,127.32437575301468
Tree26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.94434380968914,110.51329792188918,112.03554880617212,126.05870208832336,106.32787284959272,109.86343464788928,115.66907264419356,125.08157115310078,95.7054006197762,116.93710238428932,103.55629566258672,113.93530287461934,121.51085510191804,111.11823139073633
Tree27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.70426974287416,113.0759829997512,125.60931572383376,89.9152689436336,121.51830735939424,109.21939051370374,115.24701554570144,101.56132625928714,115.93734888860908,107.9332219760149,113.6950028182459,103.05356836786672,115.4657677077599
Tree28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.05751983481656,130.34210060527872,123.39500127830564,127.9352026736478,125.1108151791578,123.97394798276174,108.92286115866727,123.51099292218622,113.75987193570872,125.00419508855788,131.96218874719062,118.54150782393272
Tree29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.12643644352028,110.99113933101634,113.04102574799924,115.71063174358528,126.49409142967832,110.46673907066554,135.75153043204529,109.80745042543684,118.1962730811522,123.81657631996556,124.40490920727386
Tree30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.31054267518402,116.43447777222528,114.49863729354423,129.3618748934987,122.3917483519606,135.63134660656718,124.63635896298682,117.56683517807492,126.84417000361849,114.72607847985796
Tree31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.32662238235764,110.71814849029413,112.80615493098938,95.15993386048146,117.34186485084656,102.2668534034806,104.03247978552862,102.95116869164,115.4270395361964
Tree32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.326273578608,127.83486675172428,107.2855891119973,118.97409450142476,113.8986686756732,113.64487095381313,123.13138685138485,114.89194794799448
Tree33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.54223572088796,111.87387298312814,118.45808821213085,113.5801198073235,120.13747182672144,114.59881293656196,119.93622052027835
Tree34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.58641579206493,119.67715264575516,109.20922850851886,114.96149454005764,113.28628231397472,125.86675738876176
Tree35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.86595654960416,99.74685473299216,100.75671394059674,107.99712935320716,104.46260696710556
Tree36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.97335283486264,116.01819819478564,114.7969471806961,108.8050001645824
Tree37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.23632514176713,110.17300926012211,104.20472662253032
Tree38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5955159196238,111.09862339166968
Tree39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.41043540196635
Tree40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
